,sec,Volt1,Volt2,Volt3,slope
16,-0.00492,3.004497826,-0.007949766,0.049895361,1.1548116859999995
46,-0.00477,-0.0415272,0.008786635,0.049895361,3.046025026
76,-0.00462,3.004497826,-0.007949766,-0.017050244,2.9456066189999994
106,-0.00447,-0.0415272,-0.007949766,0.016422559,3.046025026
136,-0.00432,3.004497826,-0.007949766,0.049895361,2.9456066189999994
166,-0.00417,-0.008054398,0.008786635,0.016422559,3.012552224
352,-0.00324,3.004497826,-0.007949766,-0.017050244,2.9958158229999996
382,-0.00309,-0.008054398,-0.007949766,0.049895361,2.995815823
413,-0.002935,3.004497826,0.000418435,-0.017050244,3.012552224
443,-0.002785,-0.024790799,-0.007949766,-0.017050244,2.962343019999999
473,-0.002635,3.05470703,0.000418435,-0.017050244,3.129707032999999
503,-0.002485,-0.008054398,0.025523037,-0.017050244,3.046025027
533,-0.002335,3.004497826,-0.007949766,-0.000313843,3.012552224
563,-0.002185,-0.058263602,-0.007949766,-0.017050244,3.0627614279999995
749,-0.001255,2.971025024,0.000418435,-0.017050244,2.979079421999999
779,-0.001105,-0.008054398,-0.007949766,-0.000313843,3.012552224
810,-0.00095,3.004497826,-0.007949766,0.016422559,2.2761505709999996
840,-0.0008,-0.008054398,-0.007949766,0.049895361,3.012552224
870,-0.00065,3.037970629,-0.007949766,0.016422559,3.0460250269999998
900,-0.0005,-0.008054398,-0.007949766,-0.017050244,3.012552224
930,-0.00035,3.071443431,0.008786635,0.016422559,3.129707032999999
960,-0.0002,-0.008054398,-0.041422568,-0.017050244,3.0292886249999995
1146,0.00073,3.004497826,-0.024686167,-0.017050244,2.9958158229999996
1176,0.00088,0.058891207,-0.007949766,-0.017050244,2.9456066189999994
1207,0.001035,3.004497826,-0.007949766,-0.017050244,1.5732217189999997
1237,0.001185,-0.024790799,-0.016317966,-0.017050244,3.029288625
1267,0.001335,3.004497826,-0.007949766,-0.017050244,3.012552224
1297,0.001485,-0.024790799,-0.024686167,-0.017050244,3.029288625
1327,0.001635,3.004497826,-0.007949766,-0.017050244,3.012552224
1357,0.001785,-0.058263602,-0.007949766,-0.017050244,3.0627614279999995
1543,0.002715,3.004497826,-0.033054368,-0.017050244,3.012552224
1573,0.002865,0.058891207,-0.007949766,-0.000313843,2.9456066189999994
1604,0.00302,3.071443431,-0.041422568,-0.017050244,3.0794978289999992
1634,0.00317,-0.008054398,-0.007949766,-0.050523046,2.995815823
1664,0.00332,3.004497826,-0.041422568,-0.017050244,3.012552224
1694,0.00347,-0.008054398,-0.007949766,-0.017050244,3.012552224
1724,0.00362,3.004497826,-0.007949766,-0.017050244,3.012552224
1754,0.00377,-0.008054398,-0.024686167,-0.050523046,3.012552224
1940,0.0047,3.004497826,-0.007949766,-0.017050244,2.979079422
1970,0.00485,0.025418405,-0.024686167,-0.017050244,2.9790794210000002
